sentbert	0	55.9	0.555	('don', 'don know', 'didn', 'people', 'haven', 'just', 'did', 'know', 'didn know', 'like', 'isn', 'said', 'doesn mean', 'aren', 'alive', 'doesn', 'don think', 'hasn', 'wasn', 'health')	('democrats', 'trump', 'second', 'cent', 'democratic', 'election', 'conservatives', 'year', 'republican', '000', 'president', '2006', 'left', 'bloc', 'lowest', 'polls', 'moderate', 'republicans', 'korea', 'win')	Our house wasn’t being broken into.	His runoff opponent, Williams, is a more typical South Carolina Democrat.
sentbert	1	53.5	0.2145	('canada', 'china', 'canadian', 'chinese', 'canadians', 'dental', 'hockey', 'old', 'said', 'minister', 'god', 'office', 'google', 'tax', 'apple', 'family', 'federal', 'president', 'communist party', 'rights')	('eventually', 'maybe maybe', 'maybe maybe maybe', 'time', 'changed', 'did', 'change', 'maybe', 'tomorrow', 'going', 'italy', 'thursday', 'like', 'things', 'just', 'later', 'didn long', 'fridays', 'shore', 'tuesdays')	Johnson tosses the bag in his ceramic mug, covers it in hot water, pours in the milk and walks away.	“It happened so close to shore.
sentbert	2	55.8	0.2084	('happen', 'll', 'continue', 'ahead ahead', 'tomorrow', 'going', 'ahead ahead ahead', 'list goes', 'happens', 'time', 'soon', 'going happen', 'know', 'ok', 'yes', 'bye bye', 'goes list', 'goes list goes', 'list goes list', 'rest life')	('500', '000', 'cent', 'million', 'white', 'percent', '100 000', 'black', 'women', '300', '50', '50 000', 'dollars', 'killed', '10', 'whites', 'half', 'population', 'cents', '50 cent')	Soon, the guest-of honour arrives and proceedings begin.	Indeed, 43 percent of death row inmates are black, even though black people make up just about 13 percent of the U.S. population.
sentbert	3	50	0.1104	('files canadian', 'files canadian press', 'canadian', 'canadian press files', 'press files', 'press files canadian', 'alberta', 'quebec', 'federal election', 'trudeau', 'en', 'canada', 'canadian press', 'provincial', 'liberals', 'files', 'province', 'water', 'ottawa', 'provinces')	('ireland', 'irish', 'pizza', 'declined comment', 'mosque', 'jerusalem', 'jesus', 'aviv', 'tel', 'tel aviv', 'church', '2016', 'lives tel', 'lives tel aviv', 'northern ireland', 'israel', 'said', '27', 'yemen', 'aviv lives')	The jet stream is powered by the temperature difference between the Arctic and mid-latitudes.	Shabbat Shalom.”
sentbert	4	$57.40	-0.5954	('post shared', 'para', 'pdt', 'las', 'una', 'del', 'por', 'la', 'que', 'como', 'year', 'más', 'pst', '2019', '10', '20 years', 'en el', 'en la', 'isla', 'su')	('felt', 'shocked', 'silent', 'people', 'liked', 'feel', 'criticism', 'violence', 'said', 'brutality', 'lot people', 'reluctant', 'despite', 'comments', 'israel', 'lack', 'outcry', 'outrage', 'opposed', 'leaders')	Ayala is the state attorney for the 9th Judicial Circuit Court of Florida, which includes Orange and Osceola counties.	The fans seemed to like Flynn, too, only they hollered a lot more for several others.
sentbert	5	49.4	0.0161	('immediately respond', 'did immediately respond', 'sgt', 'request comment', 'respond request', 'respond request comment', 'sgt sgt', 'sgt sgt sgt', 'reached comment', 'unclear', 'wasn', 'immediately respond request', 'declined', 'poor', 'did', 'people', 'worse', 'did immediately', 'gender', 'don')	('warming', 'president', 'nuclear', 'north', 'climate', 'free', 'donald', 'donald trump', 'power', 'china', 'jong', 'nuclear weapons', 'global', 'global warming', 'kim jong', 'korea', 'media', 'north korea', 'trump', 'ballistic')	Do you live in a poor neighbourhood?	In September, North Korea detonated a huge nuclear device that it said was a hydrogen bomb.
sentbert	6	55.2	0.2107	('declined', 'naked', 'refused', 'failed', 'couldn', 'said', 'doesn', 'evidence', 'life', 'didn', 'wasn', 'don', 'people', 'ice', 'did', 'cold', 'failing', 'inmates', 'church', 'wear')	('china', 'plenty', 'files associated', 'files associated press', 'lot', 'economic', 'oil', 'lots', 'associated press files', 'lot money', 'press files', 'press files associated', 'liberal', 'like', 'economy', 'growing', 'said', 'rich', 'atlas', 'chairs')	Supreme Court that UBC failed to install or properly install a peephole or any chains, bars or latches that would allow a door to be opened safely while remaining locked and preventing unwanted entry of potential assailants.	And the appetite grows with the eating.
sentbert	7	51	0.155	('twitter follow', 'twitter', 'colbycosh', 'twitter com', 'colbycosh twitter', 'twitter colbycosh', 'colbycosh twitter colbycosh', 'twitter colbycosh twitter', 'follow hannah', 'follow hannah twitter', 'hannah twitter', 'hannah twitter follow', 'twitter follow hannah', 'pic', 'pic twitter', 'pic twitter com', 'follow jake', 'follow jake instagram', 'instagram follow', 'jake instagram')	('house', 'trump', 'democratic', 'democrats', 'senate', 'help', 'republican', 'committee', 'house democrats', 'nancy', 'republicans', 'amendments', 'nancy pelosi', 'conservative', 'bear', 'vote', 'house representatives', 'pet', 'dogs', 'white')	The Arab Spring erupted almost nine years ago.	An unusual legislative strategy to revive an infrastructure bill is being tested in the House, with members of the Congressional Black Caucus teaming up with conservative Republicans to sign onto a new bill.
sentbert	8	56.4	0.5902	('romantic', 'love', 'relationship', 'said', 'good', 'possible', 'sex', 'soon', 'affordable', 'treatments', 'time', 'low', 'nietzsche', 'vaccine', 'need', 'technology', 'clinical', 'risky', 'safer', 'better')	('senate', 'legislature', 'cent', 'committee', '000', 'commons', 'parliament', 'house commons', 'seats', 'vote', 'member', 'house representatives', 'elected', 'seven', '14', 'congress', 'house', 'republican', '13', 'thursday')	Let’s focus on what we can do in real time to win this battle.	2 Democrat in the House.
sentbert	9	52.8	-0.2099	('didn', 'woman', 'denied', 'said', 'hollywood', 'arrested', 'girl', 'fbi', 'year old', 'did', 'didn know', 'nsa', 'doe', 'tabloid', 'secret', 'know', 'female', 'records', 'espionage', 'agent')	('ottawa', 'better', 'sustainable', 'affordable housing', 'communities', 'needs', 'housing', 'ontario', 'city ottawa', 'canadians', 'transit', 'neighbourhoods', 'inclusive', 'indigenous peoples', 'ensure', 'improve', 'said', '2020', 'new', 'need')	She said she didn’t know Volar filmed her.	Transit and transportation connections between Ottawa and Gatineau need to be improved to reflect the fact that the two cities function as one.
sentbert	10	52.4	-0.2538	('marijuana', 'dna', 'court', 'medical', 'trial', 'cocaine', 'abortion', 'democratic', 'canada', 'medical marijuana', 'drug', 'murder', 'woman', 'cannabis', 'conservative', 'federal', 'environmental', 'york', 'new york', 'said')	('said', 'nick', 'don', 'da da', 'inaudible', 'don want', 'da da da', 'russian', 'macfathom', 'nick pinto', 'nick pinto macfathom', 'pinto', 'pinto macfathom', 'boy', 'israel', 'totally', 'like', 'cats', 'couldn believe', 'doors')	A member of the Civil Disturbance Unit, Chatman rode behind the marchers on a Harley-Davidson 883 motorcycle during the protest.	“KEEP THEM OUT OF HERE!”
